player,team,rec,rec_yds,rec_td,rush_att,rush_yds,rush_td,fumbles_lost,fp_projection
Marcus Johnson,IND,10.0,118.0,1.0,0.0,0.0,0.0,0.0,21.3
Quintez Cephus,DET,10.1,126.6,0.7,0.0,0.0,0.0,0.0,20.5
Olamide Zaccheaus,ATL,11.4,151.4,0.9,0.0,0.0,0.0,0.1,23.8
Ryan Switzer,PIT,14.7,146.1,1.2,0.5,3.4,0.0,0.0,25.8
DeAndrew White,BAL,12.9,166.2,1.0,0.0,0.0,0.0,0.0,26.1
Deonte Harris,NO,12.0,131.0,1.0,4.1,22.4,0.1,0.0,22.3
Keke Coutee,HOU,8.6,95.7,0.6,3.7,24.4,0.2,0.0,19.5
Tavon Austin,SF,9.3,121.3,0.6,4.8,33.1,0.4,0.0,22.2
Cody Core,NYG,9.0,123.0,1.0,0.0,0.0,0.0,0.0,21.4
Justin Watson,TB,7.3,126.8,0.7,0.8,5.4,0.0,0.0,19.7
Braxton Berrios,NYJ,7.3,94.8,0.6,0.0,0.0,0.0,0.0,16.7
Cedrick Wilson,DAL,11.0,136.0,0.6,0.0,0.0,0.0,0.0,17.2
Vyncint Smith,NYJ,14.4,197.6,1.2,1.8,10.5,0.1,0.0,32.2
Gunner Olszewski,NE,9.1,121.8,0.7,0.0,0.0,0.0,0.0,18.9
Chad Beebe,MIN,11.1,156.7,0.8,0.0,0.0,0.0,0.0,22.6
Reggie Begelton,GB,6.4,79.0,0.5,0.0,0.0,0.0,0.0,13.8
Jalen Guyton,LAC,8.9,114.9,0.6,0.0,0.0,0.0,0.1,18.2
Corey Coleman,NYG,6.1,108.8,0.5,0.0,0.0,0.0,0.0,17.2
Andre Patton,ARI,12.9,129.7,0.7,0.0,0.0,0.0,0.0,20.9
DeAndre Carter,HOU,6.9,110.1,0.6,0.0,0.0,0.0,0.0,18.3
Byron Pringle,KC,7.6,98.4,0.7,0.0,0.0,0.0,0.0,16.2
Jason Moore,LAC,7.4,86.3,0.5,0.0,0.0,0.0,0.0,14.3
Donovan Peoples-Jones,CLE,8.6,100.7,0.6,0.0,0.0,0.0,0.0,16.9
Robert Foster,BUF,5.3,70.8,0.4,0.0,0.0,0.0,0.0,12.0
Cody Hollister,TEN,4.6,91.8,0.4,0.0,0.0,0.0,0.0,14.2
Alex Erickson,CIN,7.6,86.7,0.5,3.9,23.6,0.1,0.0,13.5
