ecp,ecp_tier,player,team,pos,bye,sos,ecp_vs_adp
81,7,James Cook,BUF,RB27,13,2 out of 5 stars,-3
82,7,David Montgomery,DET,RB28,9,5 out of 5 stars,+1
83,7,Treylon Burks,TEN,WR40,7,3 out of 5 stars,+12
84,7,D'Andre Swift,PHI,RB29,10,1 out of 5 stars,-16
85,7,Gabe Davis,BUF,WR41,13,2 out of 5 stars,+19
86,7,Courtland Sutton,DEN,WR42,9,2 out of 5 stars,+17
87,7,JuJu Smith-Schuster,NE,WR43,11,2 out of 5 stars,+15
88,7,Isiah Pacheco,KC,RB30,10,4 out of 5 stars,-13
89,7,Dalvin Cook,NYJ,RB31,7,3 out of 5 stars,-25
90,7,Michael Thomas,NO,WR44,11,4 out of 5 stars,+6
91,7,Deshaun Watson,CLE,QB9,5,2 out of 5 stars,-21
92,7,Elijah Moore,CLE,WR45,5,3 out of 5 stars,+51
93,7,Quentin Johnston,LAC,WR46,5,3 out of 5 stars,+26
94,7,Antonio Gibson,WAS,RB32,14,3 out of 5 stars,+14
95,8,Dak Prescott,DAL,QB10,7,2 out of 5 stars,-10
96,8,Evan Engram,JAC,TE8,9,2 out of 5 stars,-19
97,8,Rashod Bateman,BAL,WR47,13,3 out of 5 stars,+51
98,8,Tua Tagovailoa,MIA,QB11,10,2 out of 5 stars,-11
99,8,Zay Flowers,BAL,WR48,13,3 out of 5 stars,+19
100,8,AJ Dillon,GB,RB33,6,4 out of 5 stars,-11
101,8,Khalil Herbert,CHI,RB34,13,5 out of 5 stars,-1
102,8,Jakobi Meyers,LV,WR49,13,2 out of 5 stars,+43
103,8,Pat Freiermuth,PIT,TE9,6,4 out of 5 stars,-10
104,8,Daniel Jones,NYG,QB12,13,1 out of 5 stars,+11
105,8,Brian Robinson Jr.,WAS,RB35,14,3 out of 5 stars,+1
106,8,Kirk Cousins,MIN,QB13,13,4 out of 5 stars,-5
107,8,Geno Smith,SEA,QB14,5,2 out of 5 stars,+9
108,8,Kadarius Toney,KC,WR50,10,2 out of 5 stars,+2
109,8,Skyy Moore,KC,WR51,10,2 out of 5 stars,+26
110,8,David Njoku,CLE,TE10,5,3 out of 5 stars,-28
111,8,Samaje Perine,DEN,RB36,9,4 out of 5 stars,+2
112,8,Nico Collins,HOU,WR52,7,4 out of 5 stars,+60
113,8,Zach Charbonnet,SEA,RB37,5,2 out of 5 stars,-2
114,8,Aaron Rodgers,NYJ,QB15,7,2 out of 5 stars,-15
115,8,Jamaal Williams,NO,RB38,11,4 out of 5 stars,-17
116,8,Anthony Richardson,IND,QB16,11,4 out of 5 stars,-2
117,8,Jerick McKinnon,KC,RB39,10,4 out of 5 stars,+3
118,8,Allen Lazard,NYJ,WR53,7,3 out of 5 stars,+21
119,8,Rondale Moore,ARI,WR54,14,3 out of 5 stars,+51
120,8,Rashaad Penny,PHI,RB40,10,1 out of 5 stars,+7
121,8,Jared Goff,DET,QB17,9,4 out of 5 stars,+10
122,8,Dalton Schultz,HOU,TE11,7,3 out of 5 stars,-10
123,8,Tyler Boyd,CIN,WR55,7,4 out of 5 stars,+28
124,8,Darnell Mooney,CHI,WR56,13,3 out of 5 stars,+39
125,9,Russell Wilson,DEN,QB18,9,4 out of 5 stars,+12
126,9,Zay Jones,JAC,WR57,9,4 out of 5 stars,+43
127,9,Damien Harris,BUF,RB41,13,2 out of 5 stars,+32
128,9,Romeo Doubs,GB,WR58,6,3 out of 5 stars,+43
129,9,Tyler Higbee,LAR,TE12,10,2 out of 5 stars,+7
130,9,Odell Beckham Jr.,BAL,WR59,13,3 out of 5 stars,-33
131,9,Adam Thielen,CAR,WR60,7,4 out of 5 stars,+1
132,9,De'Von Achane,MIA,RB42,10,1 out of 5 stars,-4
133,9,Chigoziem Okonkwo,TEN,TE13,7,3 out of 5 stars,+11
134,9,Jameson Williams,DET,WR61,9,3 out of 5 stars,+8
135,9,Elijah Mitchell,SF,RB43,9,4 out of 5 stars,+6
136,9,Raheem Mostert,MIA,RB44,10,1 out of 5 stars,+14
137,9,Jeff Wilson Jr.,MIA,RB45,10,1 out of 5 stars,+12
138,9,Cole Kmet,CHI,TE14,13,4 out of 5 stars,-16
139,9,Greg Dulcich,DEN,TE15,9,4 out of 5 stars,+13
140,9,Michael Gallup,DAL,WR62,7,2 out of 5 stars,+42
