rank,"Tier","WSID",player,team,pos,bye,best,worst,ecp,ecp_std_dev,adp,ecp_vs_adp
316,12,,Jakobi Meyers,NE,WR103,6,210,448,294.2,39.8,340.0,+24.0
317,12,,Willie Snead,BAL,WR104,8,194,398,293.6,33.8,233.0,-84.0
318,12,,DeeJay Dallas,SEA,RB90,6,181,375,294.0,43.9,,
319,12,,Justin Rohrwasser,NE,K26,6,215,338,284.8,26.0,168.0,-151.0
320,12,,Trey Burton,IND,TE37,7,127,341,269.2,54.0,328.0,+8.0
321,12,,Aldrick Rosas,FA,K27,,186,326,286.6,30.7,334.0,+13.0
322,12,,C.J. Uzomah,CIN,TE38,9,163,342,262.5,41.8,249.0,-73.0
323,12,,Randy Bullock,CIN,K28,9,198,342,302.7,31.4,294.0,-29.0
324,12,,Patrick Laird,MIA,RB91,11,244,380,297.7,26.7,316.0,-8.0
325,12,,Reggie Bonnafon,CAR,RB92,13,188,369,304.2,29.3,343.0,+18.0
326,12,,Van Jefferson,LAR,WR105,9,202,399,290.2,34.0,335.0,+9.0
327,12,,Jarrett Stidham,NE,QB36,6,197,367,308.5,41.8,293.0,-34.0
328,12,,Jordan Akins,HOU,TE39,8,196,334,278.7,31.7,,
329,12,,T.J. Yeldon,BUF,RB93,11,217,357,305.5,25.5,352.0,+23.0
330,12,,Dan Arnold,ARI,TE40,8,138,405,261.3,65.3,348.0,+18.0
331,12,,Las Vegas (LV),,DST29,6,205,345,291.3,42.1,,
332,13,,Jordan Wilkins,IND,RB94,7,159,371,307.2,28.9,,
333,13,,DaeSean Hamilton,DEN,WR106,8,186,506,308.3,49.6,,
334,13,,Wayne Gallman,NYG,RB95,11,250,380,316.7,27.4,,
335,13,,Qadree Ollison,ATL,RB96,10,241,363,318.3,24.8,,
336,13,,Bo Scarbrough,DET,RB97,5,259,362,317.5,23.1,356.0,+20.0
337,13,,Jacob Hollister,SEA,TE41,6,219,363,301.0,34.5,313.0,-24.0
338,13,,Eno Benjamin,ARI,RB98,8,166,356,305.6,31.7,295.0,-43.0
339,13,,Keke Coutee,HOU,WR107,8,169,416,318.8,37.5,,
340,13,,Derrius Guice,FA,RB99,,59,359,179.8,104.7,139.0,-201.0
341,13,,Travis Homer,SEA,RB100,6,257,388,328.1,23.4,,
342,13,,Nick Boyle,BAL,TE42,8,189,402,283.4,45.6,,
343,13,,Ted Ginn,CHI,WR108,11,205,421,306.0,50.5,,
344,13,,Jason Witten,LV,TE43,6,142,407,297.5,50.1,359.0,+15.0
345,13,,Devin Asiasi,NE,TE44,6,191,394,293.9,46.9,266.0,-79.0
346,13,,Jameis Winston,NO,QB37,6,203,379,312.6,51.6,345.0,-1.0
347,13,,Olabisi Johnson,MIN,WR109,7,189,421,291.1,52.5,,
348,13,,Taysom Hill,NO,QB38,6,138,385,309.3,66.4,,
349,13,,Greg Ward,PHI,WR110,9,229,515,308.3,61.2,349.0,0.0
350,13,,Myles Gaskin,MIA,RB101,11,262,393,329.6,21.0,,
351,13,,Stephen Gostkowski,FA,K29,,107,338,230.1,46.7,304.0,-47.0
352,13,,Cole Kmet,CHI,TE45,11,207,361,313.0,39.6,298.0,-54.0
353,13,,Logan Thomas,WAS,TE46,8,190,430,278.7,62.2,319.0,-34.0
354,13,,Miami (MIA),,DST30,11,185,346,287.3,49.0,351.0,-3.0
355,13,,Greg Joseph,TEN,K30,7,209,339,281.0,39.4,288.0,-67.0
356,13,,Ryan Griffin,NYJ,TE47,11,215,391,310.6,40.4,,
357,13,,New York (NYG),,DST31,11,206,355,288.3,47.8,,
358,13,,Marcus Mariota,LV,QB39,6,202,397,329.4,47.5,332.0,-26.0
359,13,,Keelan Cole,JAC,WR111,7,262,522,338.6,51.3,,
360,13,,Eddy Pineiro,CHI,K31,11,198,367,291.2,39.8,337.0,-23.0
361,13,,Jason Sanders,MIA,K32,11,200,342,292.5,40.7,308.0,-53.0
362,13,,Cincinnati (CIN),,DST32,9,188,354,300.3,49.6,225.0,-137.0
363,13,,Trent Taylor,SF,WR112,11,164,471,309.3,80.0,364.0,+1.0
364,13,,Antonio Brown,FA,WR113,,63,425,302.1,58.7,203.0,-161.0
365,13,,Kalen Ballage,NYJ,RB102,11,123,375,321.5,22.3,350.0,-15.0
366,13,,Mike Davis,CAR,RB103,13,181,419,321.7,50.2,,
367,13,,Corey Clement,PHI,RB104,9,241,396,322.9,48.2,,
368,13,,Jeremy Sprinkle,WAS,TE48,8,221,412,320.1,50.2,,
369,13,,Ty Montgomery,NO,RB105,6,237,382,321.3,32.2,,
370,13,,Scott Miller,TB,WR114,13,209,408,321.9,48.4,358.0,-12.0
371,13,,Jeff Wilson,SF,RB106,11,274,392,331.9,28.5,,
372,13,,Andy Dalton,DAL,QB40,10,218,397,326.5,54.3,,
373,13,,J.D. McKissic,WAS,RB107,8,186,366,309.7,38.7,355.0,-18.0
374,13,,Jakeem Grant,MIA,WR115,11,235,376,293.2,42.5,,
375,13,,Tajae Sharpe,MIN,WR116,7,257,513,331.5,53.3,333.0,-42.0
376,13,,Sam Sloman,LAR,K33,9,228,368,293.5,37.1,318.0,-58.0
377,13,,Adam Trautman,NO,TE49,6,220,406,328.2,43.5,362.0,-15.0
378,13,,Ryan Nall,CHI,RB108,11,169,386,299.5,57.5,,
379,13,,Dante Pettis,SF,WR117,11,122,501,346.3,54.0,357.0,-22.0
380,13,,Trayveon Williams,CIN,RB109,9,169,385,323.9,40.4,,
381,13,,KeeSean Johnson,ARI,WR118,8,247,397,339.2,31.2,,
382,13,,Justin Watson,TB,WR119,13,244,397,339.8,30.5,,
383,13,,Adam Vinatieri,FA,K34,,177,375,293.5,50.4,,
384,13,,Ty Johnson,DET,RB110,5,253,373,321.5,33.6,,
385,13,,Drew Sample,CIN,TE50,9,228,424,345.4,40.8,354.0,-31.0
386,13,,Kyle Juszczyk,SF,RB111,11,240,378,324.8,41.3,342.0,-44.0
387,14,,Kai Forbath,FA,K35,,187,370,295.7,42.3,,
388,14,,Cordarrelle Patterson,CHI,WR120,11,265,428,329.2,46.8,,
389,14,,Jalen Hurts,PHI,QB41,9,196,387,323.0,53.7,238.0,-151.0
390,14,,Dontrell Hilliard,CLE,RB112,9,267,377,332.2,32.3,,
391,14,,Delanie Walker,FA,TE51,,183,404,314.4,54.7,,
392,14,,Tyler Johnson,TB,WR121,13,230,509,347.4,52.7,,
393,14,,Isaiah Ford,MIA,WR122,11,196,409,317.5,61.5,,
394,14,,Kaden Smith,NYG,TE52,11,218,409,329.1,47.0,341.0,-53.0
395,14,,Anthony Firkser,TEN,TE53,7,217,431,312.5,54.6,,
396,14,,Jacoby Brissett,IND,QB42,7,282,380,344.8,25.9,,
397,14,,Jake Kumerow,GB,WR123,5,257,405,331.8,45.3,,
398,14,,Zay Jones,LV,WR124,6,198,418,348.5,32.8,,
399,14,,Rashard Higgins,CLE,WR125,9,251,440,336.6,51.3,,
400,14,,Devine Ozigbo,JAC,RB113,7,224,388,328.1,42.0,,
401,14,,Dexter Williams,GB,RB114,5,278,380,328.8,32.0,,
402,14,,Maxx Williams,ARI,TE54,8,231,436,333.8,52.5,,
403,14,,Taylor Gabriel,FA,WR126,,237,434,312.9,76.7,,
404,14,,Jordan Reed,SF,TE55,11,231,399,335.9,33.9,,
405,14,,Foster Moreau,LV,TE56,6,265,422,346.0,41.2,,
406,14,,Dalton Keene,NE,TE57,6,256,423,346.9,43.0,,
407,14,,Kahale Warring,HOU,TE58,8,225,466,329.1,61.0,,
408,14,,Albert Okwuegbunam,DEN,TE59,8,299,422,348.7,37.2,,
409,14,,Dontrelle Inman,WAS,WR127,8,218,357,266.8,45.8,,
410,14,,Hakeem Butler,ARI,WR128,8,278,517,353.2,67.5,,
411,14,,Graham Gano,NYG,K36,11,213,352,271.6,43.8,,
412,14,,Ricky Seals-Jones,KC,TE60,10,243,429,346.7,40.3,,
413,14,,Quintez Cephus,DET,WR129,5,254,516,348.4,71.7,361.0,-52.0
414,14,,Josh Gordon,FA,WR130,,192,426,353.2,40.1,222.0,-192.0
415,14,,Jesse James,DET,TE61,5,230,366,299.4,48.8,,
416,14,,Damiere Byrd,NE,WR131,6,249,505,362.0,67.0,,
417,14,,Mo Alie-Cox,IND,TE62,7,269,433,355.4,38.3,,
418,14,,Equanimeous St. Brown,GB,WR132,5,190,362,307.8,55.2,,
419,14,,Joe Reed,LAC,WR133,10,264,384,329.8,35.0,,
420,14,,Trey Quinn,WAS,WR134,8,196,429,334.8,58.2,,
421,14,,Nick Vannett,DEN,TE63,8,236,365,284.0,48.7,,
422,14,,Javon Wims,CHI,WR135,11,287,497,376.2,52.9,,
423,14,,Raymond Calais,TB,RB115,13,274,339,316.0,23.9,,
424,14,,Bilal Powell,FA,RB116,,288,357,337.7,21.3,,
425,14,,Josh Hill,NO,TE64,6,253,376,319.4,45.4,,
426,14,,Devontae Booker,LV,RB117,6,277,358,320.4,23.4,,
427,14,,Sam Ficken,NYJ,K37,11,281,379,324.4,33.4,325.0,-102.0
428,14,,Seth Roberts,CAR,WR136,13,185,503,317.3,131.1,,
429,14,,James O'Shaughnessy,JAC,TE65,7,218,380,304.0,57.8,,
430,14,,Demaryius Thomas,FA,WR137,,271,425,331.6,57.6,,
431,14,,Kyle Allen,WAS,QB43,8,253,363,333.0,27.9,,
432,14,,Jaeden Graham,ATL,TE66,10,247,432,335.8,61.2,,
433,14,,Alex Smith,WAS,QB44,8,218,318,271.0,41.0,,
434,14,,Ameer Abdullah,MIN,RB118,7,252,383,338.0,41.4,,
435,14,,Rodney Anderson,FA,RB119,,245,360,315.3,45.9,,
436,14,,Dalyn Dawkins,FA,RB120,,270,377,340.8,37.7,,
437,14,,Karan Higdon,HOU,RB121,8,299,374,343.0,28.2,,
438,14,,John Hightower,PHI,WR138,9,187,502,336.8,114.7,366.0,-72.0
439,14,,C.J. Anderson,FA,RB122,,295,363,343.8,25.1,,
440,14,,JaMycal Hasty,SF,RB123,11,291,379,344.2,22.3,,
441,14,,Robert Tonyan,GB,TE67,5,226,342,283.0,47.4,,
442,14,,Jordan Scarlett,FA,RB124,,268,399,345.2,33.2,,
443,14,,John Kelly,LAR,RB125,9,264,404,345.6,33.5,,
444,14,,J.J. Taylor,NE,RB126,6,311,414,347.4,43.2,,
445,14,,Chris Thompson,FA,WR139,,209,219,214.0,5.0,,
446,14,,Dwayne Washington,NO,RB127,6,262,392,348.8,31.4,,
447,14,,CJ Ham,MIN,RB128,7,249,390,328.3,54.1,,
448,14,,Dalton Schultz,DAL,TE68,10,281,391,352.2,37.4,,
449,14,,Kalif Raymond,TEN,WR140,7,292,427,354.6,41.1,,
450,14,,Donovan Peoples-Jones,CLE,WR141,9,262,507,389.7,50.4,,
451,14,,Tyler Bass,BUF,K38,11,214,262,238.0,24.0,,
452,14,,Tyler Kroft,BUF,TE69,11,273,361,304.3,40.1,,
453,14,,Riley Ridley,CHI,WR142,11,296,417,339.0,46.2,,
454,14,,Tim Patrick,DEN,WR143,8,268,358,310.7,36.9,,
455,14,,Paul Richardson Jr.,FA,WR144,,308,427,361.4,37.8,,
456,14,,Marcedes Lewis,GB,TE70,5,278,363,313.0,36.3,,
457,14,,Buddy Howell,HOU,RB129,8,288,386,344.5,41.0,,
458,14,,Gary Jennings Jr.,MIA,WR145,11,250,423,315.7,76.5,,
459,14,,Josh Adams,NYJ,RB130,11,326,391,349.3,26.4,,
460,14,,Kerrith Whyte Jr.,PIT,RB131,8,298,441,368.2,45.8,,
461,14,,Robert Foster,BUF,WR146,11,210,327,268.5,58.5,,
462,14,,Ross Dwelley,SF,TE71,11,311,343,326.0,13.1,,
463,14,,Michael Warren II,PHI,RB132,9,263,279,271.0,8.0,,
464,14,,David Fluellen,FA,RB133,,300,410,355.0,51.2,,
465,14,,Chandler Catanzaro,FA,K39,,221,326,273.5,52.5,,
466,14,,Thaddeus Moss,FA,TE72,,340,423,372.4,25.9,,
467,15,,Demetrius Harris,CHI,TE73,11,274,296,285.0,11.0,,
468,15,,Elijah McGuire,KC,RB134,10,310,382,335.7,32.8,,
469,15,,Laquon Treadwell,ATL,WR147,10,296,370,336.3,30.6,,
470,15,,Gabriel Davis,BUF,WR148,11,317,510,380.5,75.8,,
471,15,,Rodrigo Blankenship,IND,K40,7,275,303,289.0,14.0,,
472,15,,K.J. Hill,LAC,WR149,10,316,385,344.3,29.5,,
473,15,,Andy Janovich,CLE,RB135,9,277,393,348.7,51.1,,
474,15,,Elijah Holyfield,PHI,RB136,9,304,306,305.0,1.0,,
475,15,,Taywan Taylor,CLE,WR150,9,270,344,307.0,37.0,,
476,15,,Elijhaa Penny,NYG,RB137,11,286,397,354.7,49.0,,
477,15,,Josiah Deguara,GB,TE74,5,300,329,314.5,14.5,,
478,15,,Alec Ingold,LV,RB138,6,300,395,355.3,40.3,,
479,15,,Alex Erickson,CIN,WR151,9,297,499,376.7,87.8,,
480,15,,Adam Shaheen,MIA,TE75,11,313,322,317.5,4.5,,
481,15,,Andre Patton,ARI,WR152,8,304,332,318.0,14.0,,
482,15,,Khari Blasingame,TEN,RB139,7,289,400,358.0,49.2,,
483,15,,Trey Edmunds,PIT,RB140,8,320,382,359.3,27.9,,
484,15,,Kenneth Dixon,FA,RB141,,320,385,361.3,29.3,,
485,15,,Case Keenum,CLE,QB45,9,299,426,363.3,51.9,,
486,15,,Devin Smith,DAL,WR153,10,310,495,383.7,80.1,,
487,15,,Patrick DiMarco,BUF,RB142,11,302,403,365.0,44.9,,
488,15,,Virgil Green,LAC,TE76,10,288,378,333.0,45.0,,
489,15,,Chris Manhertz,CAR,TE77,13,318,350,334.0,16.0,,
490,15,,Taquan Mizzell,FA,RB143,,294,408,368.3,52.6,,
491,15,,Josh Rosen,MIA,QB46,11,313,366,339.5,26.5,,
492,15,,James Robinson,JAC,RB144,7,309,417,374.0,46.8,,
493,15,,Harrison Bryant,CLE,TE78,9,306,383,344.5,38.5,,
494,15,,Christian Blake,ATL,WR154,10,314,498,396.0,76.4,,
495,15,,Jordan Love,GB,QB47,5,307,386,346.5,39.5,,
496,15,,D'Ernest Johnson,CLE,RB145,9,336,414,377.3,32.0,,
497,15,,Isaiah Coulter,HOU,WR155,8,293,409,351.0,58.0,,
498,15,,Jordan Thomas,HOU,TE79,8,290,413,351.5,61.5,,
499,15,,Mack Hollins,MIA,WR156,11,267,457,362.0,95.0,,
500,15,,Durham Smythe,MIA,TE80,11,303,405,354.0,51.0,,
501,15,,Wendell Smallwood,PIT,RB146,8,321,464,392.3,58.4,,
502,15,,Joe Flacco,NYJ,QB48,11,305,493,399.0,94.0,,
503,15,,Brycen Hopkins,LAR,TE81,9,352,473,405.3,50.4,,
504,15,,Vyncint Smith,NYJ,WR157,11,323,431,377.0,54.0,,
505,15,,Braxton Berrios,NYJ,WR158,11,347,500,423.5,76.5,,
506,15,,Marvin Hall,DET,WR159,5,364,438,401.0,37.0,,
507,16,,Corey Coleman,NYG,WR160,11,368,504,436.0,68.0,,
508,16,,Trenton Cannon,CAR,RB147,13,411,412,411.5,0.5,,
509,16,,Jonathan Williams,DET,RB148,5,415,415,415.0,0.0,,
510,16,,Jason Huntley,DET,RB149,5,413,418,415.5,2.5,,
511,16,,Taiwan Jones,BUF,RB150,11,413,470,441.5,28.5,,
512,16,,Hunter Bryant,DET,TE82,5,416,485,450.5,34.5,,
