player,team,rec,rec_yds,rec_td,rush_att,rush_yds,rush_td,fumbles_lost,fp_projection
Jaelon Darden,TB,4.2,48.0,0.3,0.0,0.0,0.0,0.0,13.2
Nick Westbrook-Ikhine,TEN,1.1,11.9,0.1,0.0,0.0,0.0,0.0,8.0
DaeSean Hamilton,DEN,7.3,75.2,0.5,0.0,0.0,0.0,0.0,17.7
Mike Thomas,CIN,1.9,22.7,0.2,0.0,0.0,0.0,0.0,9.1
Diontae Spencer,DEN,3.7,38.8,0.2,2.3,13.5,0.1,0.1,13.0
Steven Sims Jr.,PIT,6.0,75.2,0.4,0.0,0.0,0.0,0.0,15.8
Tom Kennedy,DET,5.1,78.4,0.5,0.0,0.0,0.0,0.0,16.1
Gunner Olszewski,NE,3.9,45.9,0.2,1.3,6.9,0.0,0.0,12.1
Jeff Smith,NYJ,1.6,20.6,0.1,0.0,0.0,0.0,0.0,8.3
K.J. Hill Jr.,LAC,0.8,9.4,0.0,0.0,0.0,0.0,0.1,6.4
Trenton Irwin,CIN,0.8,9.2,0.0,0.0,0.0,0.0,0.0,6.5
Victor Bolden Jr.,DET,5.3,56.2,0.3,0.0,0.0,0.0,0.0,12.5
KhaDarel Hodge,DET,0.7,8.8,0.0,0.0,0.0,0.0,0.0,5.2
Tajae Sharpe,ATL,3.6,46.8,0.3,0.0,0.0,0.0,0.0,11.1
Antonio Gandy-Golden,WAS,4.2,57.2,0.3,0.0,0.0,0.0,0.0,11.7
Jake Kumerow,BUF,3.9,53.2,0.4,0.0,0.0,0.0,0.0,11.3
Greg Dortch,ARI,4.1,46.9,0.3,0.0,0.0,0.0,0.0,10.2
John Ross,NYG,0.7,8.6,0.0,0.0,0.0,0.0,0.0,4.5
Marcus Johnson,TEN,3.6,43.6,0.3,0.0,0.0,0.0,0.0,9.6
DeAndre Carter,WAS,0.9,10.4,0.0,0.0,0.0,0.0,0.0,5.1
Matthew Slater,NE,1.5,71.8,0.2,0.0,0.0,0.0,0.0,10.7
Tavon Austin,JAC,3.8,46.3,0.2,0.0,0.0,0.0,0.0,10.4
James Proche,BAL,2.3,28.9,0.2,0.0,0.0,0.0,0.0,7.3
Trent Taylor,CIN,3.9,39.7,0.2,0.0,0.0,0.0,0.0,9.3
Racey McMath,TEN,3.1,38.5,0.3,0.0,0.0,0.0,0.0,8.6
Jauan Jennings,SF,3.0,39.2,0.3,0.0,0.0,0.0,0.0,8.4
Mike Strachan,IND,2.0,28.8,0.2,0.0,0.0,0.0,0.0,7.0
J.J. Arcega-Whiteside,PHI,1.7,23.2,0.2,0.0,0.0,0.0,0.0,5.4
John Ursua,SEA,0.8,9.0,0.0,0.0,0.0,0.0,0.0,4.2
K.J. Osborn,MIN,0.0,8.7,0.0,0.0,0.0,0.0,0.0,3.5
Malik Taylor,GB,1.2,13.8,0.2,0.0,0.0,0.0,0.0,4.5
C.J. Board,NYG,0.7,7.7,0.0,0.0,0.0,0.0,0.0,3.5
Ashton Dulin,IND,0.7,8.3,0.0,0.0,0.0,0.0,0.0,3.2
Brandon Zylstra,CAR,0.0,7.5,0.0,0.0,0.0,0.0,0.0,3.1
Nsimba Webster,CHI,0.9,9.5,0.0,0.0,0.0,0.0,0.0,3.0
Daurice Fountain,KC,2.0,26.2,0.2,0.0,0.0,0.0,0.0,5.8
Malcolm Perry,NE,0.9,9.1,0.0,1.8,9.4,0.1,0.0,4.3
