player,team,rush_att,rush_yds,rush_td,rec,rec_yds,rec_td,fumbles_lost,fp_projection
Trestan Ebner,CHI,0.0,0.0,0.0,0.0,0.0,0.0,0.1,17.8
La'Mical Perine,NYJ,4.3,17.2,0.2,3.9,26.9,0.2,0.0,9.8
Jakob Johnson,LV,4.0,3.7,0.0,4.4,19.9,0.2,0.1,8.6
Julius Chestnut,TEN,4.5,19.0,0.1,3.8,27.9,0.2,0.0,10.1
Khari Blasingame,CHI,0.0,0.0,0.0,3.6,29.0,0.2,0.0,8.4
Michael Burton,KC,4.4,17.4,0.2,0.0,0.0,0.0,0.0,7.5
Derek Watt,PIT,0.0,0.0,0.0,4.0,19.1,0.2,0.0,8.4
Larry Rountree III,LAC,0.0,0.0,0.0,0.0,0.0,0.0,0.1,9.5
Cethan Carter,MIA,0.0,0.9,0.0,2.9,44.0,0.4,0.0,9.6
Kevin Harris,NE,8.3,34.6,0.3,2.0,14.5,0.1,0.0,9.3
Johnny Stanton IV,CLE,2.2,9.3,0.1,3.9,27.4,0.2,0.0,9.1
Ty Johnson,NYJ,0.0,0.0,0.0,0.0,0.0,0.0,0.1,6.5
Reggie Gilliam,BUF,0.0,0.0,0.0,4.4,32.5,0.2,0.0,9.1
Nick Bawden,NYJ,0.0,0.0,0.0,4.3,31.4,0.2,0.0,8.7
Patrick Taylor Jr.,GB,0.0,0.0,0.0,0.0,0.0,0.0,0.1,9.1
Deon Jackson,IND,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0
Adam Prentice,NO,4.4,18.7,0.1,2.0,14.7,0.1,0.0,6.9
Trayveon Williams,CIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5
Jaylen Warren,PIT,7.4,30.7,0.0,0.0,0.0,0.0,0.0,7.0
Mekhi Sargent,JAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7
Godwin Igwebuike,DET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4
Jason Huntley,PHI,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.1
Gabe Nabers,LAC,4.4,9.2,0.1,0.0,0.0,0.0,0.0,3.9
Josh Hokit,ARI,0.0,2.2,0.0,0.9,5.3,0.0,0.0,2.1
Taiwan Jones,BUF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gerrid Doaks,MIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
John Kelly Jr.,CLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
John Lovett,MIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Malik Davis,DAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Salvon Ahmed,MIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nate McCrary,BAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spencer Brown,BUF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Reggie Bonnafon,WAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jonathan Williams,WAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
