ecp,ecp_tier,player,team,pos,bye,sos,ecp_vs_adp
394,14,New York Giants,NYG,DST26,11,3 out of 5 stars,-142
395,14,Los Angeles Chargers,LAC,DST27,5,5 out of 5 stars,-202
396,14,Kevin Harris,NE,RB112,14,2 out of 5 stars,-3
397,14,Los Angeles Rams,LAR,DST28,6,2 out of 5 stars,-138
398,14,Trayveon Williams,CIN,RB113,12,3 out of 5 stars,+249
399,14,Kenny Pickett,PHI,QB43,5,2 out of 5 stars,-66
400,14,Trenton Irwin,CIN,WR140,12,2 out of 5 stars,+28
401,14,Ameer Abdullah,LV,RB114,10,3 out of 5 stars,+133
402,14,Josh Whyle,TEN,TE57,5,4 out of 5 stars,+274
403,14,Darnell Washington,PIT,TE58,9,3 out of 5 stars,-66
404,14,Nick Mullens,MIN,QB44,6,5 out of 5 stars,+294
405,14,Olamide Zaccheaus,WAS,WR141,14,3 out of 5 stars,+171
406,14,Jaheim Bell,NE,TE59,14,3 out of 5 stars,+186
407,14,Kenny McIntosh,SEA,RB115,10,4 out of 5 stars,+195
408,14,Adam Trautman,DEN,TE60,14,2 out of 5 stars,-1
409,14,Sione Vaki,DET,RB116,5,3 out of 5 stars,+79
410,14,KaVontae Turpin,DAL,WR142,7,3 out of 5 stars,+55
411,14,Brandon McManus,FA,K21,-,-,-109
412,14,Chris Boswell,PIT,K22,9,4 out of 5 stars,-169
413,14,Cam Little,JAC,K23,12,5 out of 5 stars,-112
414,15,Joshua Karty,LAR,K24,6,1 out of 5 stars,-97
415,15,Ainias Smith,PHI,WR143,5,2 out of 5 stars,-53
416,15,Latavius Murray,FA,RB117,-,-,-
417,15,Blake Watson,DEN,RB118,14,4 out of 5 stars,-
418,15,Foster Moreau,NO,TE61,12,4 out of 5 stars,+161
419,15,Sean Tucker,TB,RB119,11,5 out of 5 stars,+175
420,15,Tyrod Taylor,NYJ,QB45,12,2 out of 5 stars,+196
421,15,Greg Joseph,GB,K25,10,5 out of 5 stars,-101
422,15,Jake Bobo,SEA,WR144,10,3 out of 5 stars,-97
423,15,Chase McLaughlin,TB,K26,11,3 out of 5 stars,-119
424,15,Tyquan Thornton,NE,WR145,14,3 out of 5 stars,+217
425,15,Matt Prater,ARI,K27,11,2 out of 5 stars,-50
426,15,Xavier Hutchinson,HOU,WR146,14,3 out of 5 stars,+169
427,15,Tyler Goodson,IND,RB120,14,2 out of 5 stars,+236
428,15,Jase McClellan,ATL,RB121,12,4 out of 5 stars,+252
429,15,Jamison Crowder,WAS,WR147,14,3 out of 5 stars,+257
430,15,Washington Commanders,WAS,DST29,14,5 out of 5 stars,-186
431,15,Malik Davis,DAL,RB122,7,3 out of 5 stars,+129
432,15,Kene Nwangwu,MIN,RB123,6,3 out of 5 stars,-9
433,15,Graham Gano,NYG,K28,11,1 out of 5 stars,-134
434,15,Carolina Panthers,CAR,DST30,11,4 out of 5 stars,-26
435,15,Durham Smythe,MIA,TE62,6,2 out of 5 stars,-104
436,15,Ryan Flournoy,DAL,WR148,7,3 out of 5 stars,+130
437,15,Chris Moore,ARI,WR149,11,3 out of 5 stars,+253
438,15,Mac Jones,JAC,QB46,12,5 out of 5 stars,-55
439,15,Spencer Rattler,NO,QB47,12,4 out of 5 stars,-52
440,15,Luke Schoonmaker,DAL,TE63,7,2 out of 5 stars,-73
441,15,Will Mallory,IND,TE64,14,3 out of 5 stars,+63
442,15,Joshua Dobbs,SF,QB48,9,2 out of 5 stars,-90
443,15,Nick Westbrook-Ikhine,TEN,WR150,5,4 out of 5 stars,+146
444,15,Alec Ingold,MIA,RB124,6,3 out of 5 stars,+73
445,15,Lucas Krull,DEN,TE65,14,2 out of 5 stars,+124
446,15,Bub Means,NO,WR151,12,3 out of 5 stars,+515
447,15,KhaDarel Hodge,ATL,WR152,12,4 out of 5 stars,+263
448,15,Jalen Brooks,DAL,WR153,7,3 out of 5 stars,+14
449,15,Mo Alie-Cox,IND,TE66,14,3 out of 5 stars,-77
450,15,Braxton Berrios,MIA,WR154,6,2 out of 5 stars,-129
451,15,Anders Carlson,GB,K29,10,5 out of 5 stars,-148
452,15,Terrace Marshall Jr.,CAR,WR155,11,5 out of 5 stars,+313
453,15,Carson Wentz,KC,QB49,6,3 out of 5 stars,-110
454,15,Eddy Pineiro,CAR,K30,11,3 out of 5 stars,-19
455,15,Will Reichard,MIN,K31,6,5 out of 5 stars,-204
456,15,Charlie Jones,CIN,WR156,12,2 out of 5 stars,+8
457,15,Jamari Thrash,CLE,WR157,10,3 out of 5 stars,+224
458,15,Marcus Mariota,WAS,QB50,14,3 out of 5 stars,+164
459,15,Casey Washington,ATL,WR158,12,4 out of 5 stars,+497
460,15,Cole Turner,WAS,TE67,14,2 out of 5 stars,-
461,15,Robert Tonyan,MIN,TE68,6,2 out of 5 stars,+238
462,15,Dare Ogunbowale,HOU,RB125,14,3 out of 5 stars,+77
463,15,Jared Wiley,KC,TE69,6,3 out of 5 stars,-79
464,15,Isaiah McKenzie,NYG,WR159,11,3 out of 5 stars,+231
465,15,Frank Gore Jr.,BUF,RB126,12,2 out of 5 stars,+89
466,15,Isaiah Hodgins,NYG,WR160,11,3 out of 5 stars,+189
467,15,Boston Scott,LAR,RB127,6,3 out of 5 stars,+118
468,15,Patrick Ricard,BAL,RB128,14,3 out of 5 stars,+44
469,15,DeeJay Dallas,ARI,RB129,11,2 out of 5 stars,+72
470,15,Quez Watkins,PIT,WR161,9,1 out of 5 stars,+41
471,15,Irv Smith Jr.,KC,TE70,6,3 out of 5 stars,+7
472,15,Mecole Hardman Jr.,KC,WR162,6,3 out of 5 stars,-124
473,15,David Bell,CLE,WR163,10,3 out of 5 stars,+117
474,15,Julius Chestnut,TEN,RB130,5,3 out of 5 stars,+330
475,15,Emanuel Wilson,GB,RB131,10,1 out of 5 stars,+74
476,15,Daurice Fountain,DET,WR164,5,4 out of 5 stars,+224
477,15,Riley Patterson,FA,K32,-,-,-139
478,15,Elijah Higgins,ARI,TE71,11,5 out of 5 stars,-86
479,15,Cody Schrader,SF,RB132,9,2 out of 5 stars,+322
480,15,Keilan Robinson,JAC,RB133,12,2 out of 5 stars,+377
481,15,Trent Sherfield Sr.,MIN,WR165,6,3 out of 5 stars,+164
482,15,AJ Barner,SEA,TE72,10,3 out of 5 stars,+49
483,15,Justyn Ross,KC,WR166,6,3 out of 5 stars,+10
484,15,Zach Wilson,DEN,QB51,14,2 out of 5 stars,-129
485,15,Jeremy McNichols,WAS,RB134,14,3 out of 5 stars,+381
486,15,Brock Wright,DET,TE73,5,3 out of 5 stars,-127
487,15,Raheem Blackshear,CAR,RB135,11,4 out of 5 stars,+94
488,15,Andy Dalton,CAR,QB52,11,5 out of 5 stars,-61
489,15,Josh Johnson,BAL,QB53,14,4 out of 5 stars,+53
490,15,Drew Sample,CIN,TE74,12,3 out of 5 stars,+45
491,15,Kyle Philips,TEN,WR167,5,4 out of 5 stars,-
492,15,Mike White,MIA,QB54,6,2 out of 5 stars,-71
493,15,Jimmy Garoppolo,LAR,QB55,6,4 out of 5 stars,-133
494,15,Desmond Ridder,ARI,QB56,11,2 out of 5 stars,+284
495,15,Kendall Milton,PHI,RB136,5,4 out of 5 stars,-
496,15,Pharaoh Brown,SEA,TE75,10,3 out of 5 stars,-4
497,16,Zach Evans,LAR,RB137,6,3 out of 5 stars,+104
498,16,Connor Heyward,PIT,TE76,9,3 out of 5 stars,-148
499,16,Devin Duvernay,JAC,WR168,12,4 out of 5 stars,+154
500,16,Harrison Bryant,LV,TE77,10,4 out of 5 stars,+156
501,16,Tip Reiman,ARI,TE78,11,5 out of 5 stars,+359
502,16,Derius Davis,LAC,WR169,5,3 out of 5 stars,+102
503,16,C.J. Ham,MIN,RB138,6,3 out of 5 stars,-66
504,16,MyCole Pruitt,PIT,TE79,9,3 out of 5 stars,-84
505,16,Chris Brooks,MIA,RB139,6,3 out of 5 stars,+113
506,16,Leonard Fournette,FA,RB140,-,-,-3
507,16,Laviska Shenault Jr.,SEA,WR170,10,3 out of 5 stars,+122
508,16,Charlie Woerner,ATL,TE80,12,3 out of 5 stars,+385
509,16,Ian Thomas,CAR,TE81,11,3 out of 5 stars,+194
510,16,Anthony Gould,IND,WR171,14,4 out of 5 stars,+449
511,16,Nick Folk,TEN,K33,5,5 out of 5 stars,-126
512,16,Dillon Johnson,FA,RB141,-,-,-
513,16,Jordan Akins,CLE,TE82,10,3 out of 5 stars,+83
514,16,Easton Stick,LAC,QB57,5,2 out of 5 stars,+68
515,16,Darrynton Evans,BUF,RB142,12,2 out of 5 stars,+371
516,16,Joe Milton III,NE,QB58,14,3 out of 5 stars,-162
517,16,Jalen Guyton,LV,WR172,10,3 out of 5 stars,+210
518,16,Michael Burton,DEN,RB143,14,4 out of 5 stars,+121
519,16,Stone Smartt,LAC,TE83,5,3 out of 5 stars,+406
520,16,Mason Rudolph,TEN,QB59,5,5 out of 5 stars,+118
521,16,Stephen Sullivan,FA,TE84,-,-,-
522,16,Avery Williams,ATL,RB144,12,4 out of 5 stars,+377
523,16,Allen Robinson II,NYG,WR173,11,3 out of 5 stars,+10
524,16,Dallin Holker,NO,TE85,12,4 out of 5 stars,+264
525,16,DJ Turner,LV,WR174,10,3 out of 5 stars,+237
526,16,Brenton Strange,JAC,TE86,12,3 out of 5 stars,+293
527,16,Patrick Taylor Jr.,SF,RB145,9,2 out of 5 stars,+90
528,16,Michael Wiley,WAS,RB146,14,3 out of 5 stars,-87
529,16,Jason Brownlee,NYJ,WR175,12,4 out of 5 stars,+299
530,16,Trey Lance,DAL,QB60,7,2 out of 5 stars,-162
531,16,Devaughn Vele,DEN,WR176,14,2 out of 5 stars,-17
532,16,Payne Durham,TB,TE87,11,3 out of 5 stars,+294
533,16,Tommy DeVito,NYG,QB61,11,2 out of 5 stars,-177
534,16,Ke'Shawn Vaughn,SF,RB147,9,2 out of 5 stars,+221
535,16,Chris Blair,ATL,WR177,12,4 out of 5 stars,+361
536,16,Chris Conley,SF,WR178,9,2 out of 5 stars,+88
537,16,Owen Wright,BAL,RB148,14,3 out of 5 stars,+71
