rank,name,team,position,bye,best,worst,ecp,ecp_std_dev,adp,ecp_vs_adp
156,Antonio Gates,LAC,TE20,9,108,203,159.2,18.6,183.0,+27.0
157,Latavius Murray,MIN,RB54,9,69,237,162.3,39.5,155.0,-2.0
158,Chris Thompson,WAS,RB55,5,106,248,153.3,29.4,190.0,+32.0
159,Alvin Kamara,NO,RB56,5,122,224,163.5,25.8,166.0,+7.0
160,Minnesota Vikings,,DST5,9,135,206,161.2,16.3,148.0,-12.0
161,Arizona Cardinals,,DST6,8,131,237,161.7,19.3,149.0,-12.0
162,Jay Cutler,MIA,QB21,11,127,220,166.5,25.5,176.0,+14.0
163,Sam Bradford,MIN,QB22,9,113,239,165.5,25.5,189.0,+26.0
164,Marqise Lee,JAC,WR60,8,117,234,167.1,26.4,201.0,+37.0
165,Joe Flacco,BAL,QB23,10,127,235,166.4,20.2,182.0,+17.0
166,DeAndre Washington,OAK,RB57,10,113,249,167.3,31.4,188.0,+22.0
167,Breshad Perriman,BAL,WR61,10,124,252,171.8,29.7,206.0,+39.0
168,Cooper Kupp,LAR,WR62,8,92,245,173.9,33.1,141.0,-27.0
169,Jonathan Williams,BUF,RB58,6,115,265,175.9,38.1,169.0,0.0
170,New England Patriots,,DST7,9,135,211,169.6,18.3,147.0,-23.0
171,Kenny Golladay,DET,WR63,7,102,241,174.6,32.8,162.0,-9.0
172,Justin Tucker,BAL,K1,10,141,215,172.0,14.2,138.0,-34.0
173,Jared Cook,OAK,TE21,10,112,246,174.3,25.7,196.0,+23.0
174,Taylor Gabriel,ATL,WR64,5,128,256,176.4,27.6,171.0,-3.0
175,Alex Smith,KC,QB24,10,126,245,173.3,24.2,229.0,+54.0
176,Stephen Gostkowski,NE,K2,9,137,205,170.8,12.0,134.0,-42.0
177,O.J. Howard,TB,TE22,11,106,245,178.3,28.6,136.0,-41.0
178,Evan Engram,NYG,TE23,8,114,228,178.7,23.9,158.0,-20.0
179,Mohamed Sanu,ATL,WR65,5,68,240,178.3,34.6,184.0,+5.0
180,Devin Funchess,CAR,WR66,11,129,233,181.8,32.2,222.0,+42.0
181,J.J. Nelson,ARI,WR67,8,142,250,185.2,30.6,204.0,+23.0
182,Marlon Mack,IND,RB59,11,98,314,184.6,42.5,175.0,-7.0
183,Blake Bortles,JAC,QB25,8,127,274,175.9,32.2,285.0,+102.0
184,Robert Woods,LAR,WR68,8,101,245,184.0,36.0,249.0,+65.0
185,Charles Clay,BUF,TE24,6,112,286,183.3,30.6,232.0,+47.0
186,Kendall Wright,CHI,WR69,9,102,238,179.4,30.4,244.0,+58.0
187,New York Giants,,DST8,8,141,222,178.9,16.6,165.0,-22.0
188,John Ross,CIN,WR70,6,111,248,188.5,35.4,160.0,-28.0
189,Dan Bailey,DAL,K3,6,154,220,180.9,14.8,157.0,-32.0
190,Carolina Panthers,,DST9,11,153,207,179.7,14.0,170.0,-20.0
191,Charles Sims,TB,RB60,11,124,233,179.9,27.5,252.0,+61.0
192,D'Onta Foreman,HOU,RB61,7,130,241,183.9,32.2,180.0,-12.0
193,Matt Bryant,ATL,K4,5,147,222,180.5,15.8,153.0,-40.0
194,Dion Lewis,NE,RB62,9,89,271,184.7,34.2,193.0,-1.0
195,Torrey Smith,PHI,WR71,10,109,278,196.1,44.8,218.0,+23.0
196,Allen Hurns,JAC,WR72,8,138,241,189.1,28.9,202.0,+6.0
197,Robert Turbin,IND,RB63,11,70,242,186.0,35.8,289.0,+92.0
198,Joe Williams,SF,RB64,11,117,264,194.3,40.9,185.0,-13.0
199,Mason Crosby,GB,K5,8,168,217,186.7,12.1,173.0,-26.0
200,Nelson Agholor,PHI,WR73,10,122,253,187.9,31.9,272.0,+72.0
201,David Njoku,CLE,TE25,9,135,238,192.6,22.8,211.0,+10.0
202,Brian Hoyer,SF,QB26,11,144,329,195.1,33.7,248.0,+46.0
203,Wendell Smallwood,PHI,RB65,10,110,267,205.0,44.6,181.0,-22.0
204,Los Angeles Rams,,DST10,8,154,234,188.4,19.2,194.0,-10.0
205,Tavon Austin,LAR,WR74,8,109,251,199.0,37.7,225.0,+20.0
206,Austin Seferian-Jenkins,NYJ,TE26,11,137,306,196.8,35.0,261.0,+55.0
207,Danny Amendola,NE,WR75,9,138,256,197.3,39.0,167.0,-40.0
208,Jalen Richard,OAK,RB66,10,127,263,198.7,26.6,205.0,-3.0
209,Paul Richardson,SEA,WR76,6,135,282,203.5,34.9,270.0,+61.0
210,Chris Conley,KC,WR77,10,127,259,199.3,28.9,239.0,+29.0
211,Jacksonville Jaguars,,DST11,8,143,237,195.3,18.9,179.0,-32.0
212,Charcandrick West,KC,RB67,10,151,312,202.5,41.6,199.0,-13.0
213,Malcolm Mitchell,NE,WR78,9,155,264,203.1,29.1,214.0,+1.0
214,Adam Vinatieri,IND,K6,11,172,233,195.1,13.6,168.0,-46.0
215,Dwayne Allen,NE,TE27,9,133,250,203.6,29.9,268.0,+53.0
216,T.J. Yeldon,JAC,RB68,8,141,251,197.2,27.4,213.0,-3.0
217,Will Fuller,HOU,WR79,7,122,265,207.9,34.1,255.0,+38.0
218,Tim Hightower,SF,RB69,11,135,295,207.4,37.0,271.0,+53.0
219,Zach Miller,CHI,TE28,9,104,265,208.0,33.8,308.0,+89.0
220,Baltimore Ravens,,DST12,10,153,235,197.4,15.5,197.0,-23.0
221,Jesse James,PIT,TE29,9,160,279,205.4,26.7,219.0,-2.0
222,Terrance Williams,DAL,WR80,6,144,269,210.3,34.1,316.0,+94.0
223,Mike Williams,LAC,WR81,9,106,280,217.2,43.9,245.0,+22.0
224,Pittsburgh Steelers,,DST13,9,174,244,201.1,16.2,177.0,-47.0
225,Vance McDonald,PIT,TE30,9,141,256,212.7,34.1,319.0,+94.0
